Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Mar 1 2010,7:00p,Dallas Mavericks,89,Charlotte Bobcats,84,Box Score,,15691,
Mon Mar 1 2010,7:00p,New York Knicks,93,Cleveland Cavaliers,124,Box Score,,20562,
Mon Mar 1 2010,7:00p,Orlando Magic,126,Philadelphia 76ers,105,Box Score,,15817,
Mon Mar 1 2010,8:00p,Atlanta Hawks,116,Chicago Bulls,92,Box Score,,19011,
Mon Mar 1 2010,8:00p,Portland Trail Blazers,103,Memphis Grizzlies,93,Box Score,,11123,
Mon Mar 1 2010,8:00p,San Antonio Spurs,106,New Orleans Hornets,92,Box Score,,13655,
Mon Mar 1 2010,8:30p,Toronto Raptors,92,Houston Rockets,116,Box Score,,13943,
Mon Mar 1 2010,9:00p,Denver Nuggets,85,Phoenix Suns,101,Box Score,,18159,
Mon Mar 1 2010,10:30p,Utah Jazz,104,Los Angeles Clippers,108,Box Score,,15422,
Tue Mar 2 2010,7:30p,Boston Celtics,105,Detroit Pistons,100,Box Score,,17956,
Tue Mar 2 2010,7:30p,Golden State Warriors,106,Miami Heat,110,Box Score,,15213,
Tue Mar 2 2010,8:00p,Sacramento Kings,107,Oklahoma City Thunder,113,Box Score,,17677,
Tue Mar 2 2010,10:30p,Indiana Pacers,99,Los Angeles Lakers,122,Box Score,,18997,
Wed Mar 3 2010,7:00p,Philadelphia 76ers,93,Atlanta Hawks,112,Box Score,,15408,
Wed Mar 3 2010,7:00p,Golden State Warriors,90,Orlando Magic,117,Box Score,,17461,
Wed Mar 3 2010,7:30p,Charlotte Bobcats,80,Boston Celtics,104,Box Score,,18624,
Wed Mar 3 2010,7:30p,Cleveland Cavaliers,111,New Jersey Nets,92,Box Score,,17502,
Wed Mar 3 2010,7:30p,Detroit Pistons,104,New York Knicks,128,Box Score,,19341,
Wed Mar 3 2010,8:00p,Washington Wizards,87,Milwaukee Bucks,100,Box Score,,13247,
Wed Mar 3 2010,8:00p,Memphis Grizzlies,104,New Orleans Hornets,100,Box Score,,14347,
Wed Mar 3 2010,8:30p,Minnesota Timberwolves,109,Dallas Mavericks,112,Box Score,,19511,
Wed Mar 3 2010,8:30p,Sacramento Kings,84,Houston Rockets,81,Box Score,,15651,
Wed Mar 3 2010,9:00p,Oklahoma City Thunder,90,Denver Nuggets,119,Box Score,,18822,
